item_id|brand|type|flavor|can_price|can_volume
1|Friskies|Class Pate Liver & Chicken Dinner|chicken|1.25|12
2|Friskies|Meaty Bits with Beef in Gravy|beef|1.45|12
3|TikiCat|Koolina Luau|chicken|1.79|6
4|TikiCat|Manana Grill|fish|1.58|6
5|Iams|Purrfect Delights Cluckin' Good Chicken Dinner Chunks in Gravy|chicken|1.49|11
6|Nature's Variety|Instinct Grain-Free Pork Formula|pork|1.25|11
7|Iams|Adult Premium Pate with Tender Beef|beef|1.05|11
8|Wellness|Signature Selects Shredded White Meat Chicken|chicken|1.34|12
9|Wellness|Signature Selects Chunky Turkey|turkey|1.34|12
10|Evangers|Slow Cooked Chicken Stew|chicken|1.85|12
11|BRAND1|TYPE1|chicken|1.24|12
12|BRAND2|TYPE2|chicken|1.26|12
13|BRAND3|TYPE3|chicken|1.55|12
